name,description,similar_medicines
Aspirin,"Aspirin is a medication used to reduce pain, fever, or inflammation.","Ibuprofen,Acetaminophen,Naproxen"
Ibuprofen,"Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain, fever, and inflammation.","Aspirin,Acetaminophen,Naproxen"
Acetaminophen,"Acetaminophen is a medication used to treat pain and reduce fever.","Aspirin,Ibuprofen,Naproxen"
Naproxen,"Naproxen is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain and inflammation.","Aspirin,Ibuprofen,Acetaminophen"
Paracetamol,"Paracetamol is a medication used to treat pain and reduce fever.","Aspirin,Ibuprofen,Naproxen"
Omeprazole,"Omeprazole is a medication used to reduce stomach acid and treat conditions like acid reflux and ulcers.","Lansoprazole,Pantoprazole,Esomeprazole"
Lansoprazole,"Lansoprazole is a medication used to reduce stomach acid and treat conditions like acid reflux and ulcers.","Omeprazole,Pantoprazole,Esomeprazole"
Pantoprazole,"Pantoprazole is a medication used to reduce stomach acid and treat conditions like acid reflux and ulcers.","Omeprazole,Lansoprazole,Esomeprazole"
Esomeprazole,"Esomeprazole is a medication used to reduce stomach acid and treat conditions like acid reflux and ulcers.","Omeprazole,Lansoprazole,Pantoprazole"
Simvastatin,"Simvastatin is a medication used to lower cholesterol levels in the blood.","Atorvastatin,Rosuvastatin,Pravastatin"
Atorvastatin,"Atorvastatin is a medication used to lower cholesterol levels in the blood.","Simvastatin,Rosuvastatin,Pravastatin"
Rosuvastatin,"Rosuvastatin is a medication used to lower cholesterol levels in the blood.","Simvastatin,Atorvastatin,Pravastatin"
Pravastatin,"Pravastatin is a medication used to lower cholesterol levels in the blood.","Simvastatin,Atorvastatin,Rosuvastatin"
Metformin,"Metformin is a medication used to treat type 2 diabetes.","Glipizide,Gliclazide,Sitagliptin"
Glipizide,"Glipizide is a medication used to treat type 2 diabetes.","Metformin,Gliclazide,Sitagliptin"
Gliclazide,"Gliclazide is a medication used to treat type 2 diabetes.","Metformin,Glipizide,Sitagliptin"
Sitagliptin,"Sitagliptin is a medication used to treat type 2 diabetes.","Metformin,Glipizide,Gliclazide"
Amlodipine,"Amlodipine is a medication used to treat high blood pressure and coronary artery disease.","Losartan,Ramipril,Enalapril"
Losartan,"Losartan is a medication used to treat high blood pressure and heart failure.","Amlodipine,Ramipril,Enalapril"
Ramipril,"Ramipril is a medication used to treat high blood pressure, heart failure, and to improve survival after heart attacks.","Amlodipine,Losartan,Enalapril"
Enalapril,"Enalapril is a medication used to treat high blood pressure, heart failure, and to improve survival after heart attacks.","Amlodipine,Losartan,Ramipril"
Warfarin,"Warfarin is a medication used to prevent blood clots.","Rivaroxaban,Apixaban,Dabigatran"
Rivaroxaban,"Rivaroxaban is a medication used to prevent blood clots.","Warfarin,Apixaban,Dabigatran"
Apixaban,"Apixaban is a medication used to prevent blood clots.","Warfarin,Rivaroxaban,Dabigatran"
Dabigatran,"Dabigatran is a medication used to prevent blood clots.","Warfarin,Rivaroxaban,Apixaban"
Levothyroxine,"Levothyroxine is a medication used to treat an underactive thyroid gland (hypothyroidism).","Liothyronine,Thyroxine,Desiccated thyroid extract"
Liothyronine,"Liothyronine is a medication used to treat an underactive thyroid gland (hypothyroidism).","Levothyroxine,Thyroxine,Desiccated thyroid extract"
Thyroxine,"Thyroxine is a medication used to treat an underactive thyroid gland (hypothyroidism).","Levothyroxine,Liothyronine,Desiccated thyroid extract"
